1985,August,Income Tax,226465
1985,August,Corporation Tax,53461
1985,August,Valued Added Tax,99046
1985,August,Training and Employment Levy,19997
1985,August,Motor Vehicle Duties,11720
1985,September,Customs,5793
1985,September,Excise Duty,149166
1985,September,Capital Gains Tax,3323
1985,September,Stamps,41098
1985,September,Income Tax,235147
1985,September,Corporation Tax,19311
1985,September,Valued Added Tax,193240
1985,September,Training and Employment Levy,11264
1985,September,Motor Vehicle Duties,12783
1985,October,Customs,11047
1985,October,Excise Duty,145219
1985,October,Capital Gains Tax,3539
1985,October,Stamps,7764
1985,October,Income Tax,206406
1985,October,Corporation Tax,28616
1985,October,Valued Added Tax,115207
1985,October,Training and Employment Levy,11755
1985,October,Motor Vehicle Duties,13156
1985,November,Customs,11428
1985,November,Excise Duty,125917
1985,November,Capital Gains Tax,3201
1985,November,Stamps,12022
1985,November,Income Tax,287052
1985,November,Corporation Tax,29783
1985,November,Valued Added Tax,195791
1985,November,Training and Employment Levy,9479
1985,November,Motor Vehicle Duties,11433
1985,December  ,Customs,7389
1985,December  ,Excise Duty,212663
1985,December  ,Capital Gains Tax,2470
1985,December  ,Stamps,8423
1985,December  ,Income Tax,276404
1985,December  ,Corporation Tax,16079
1985,December  ,Valued Added Tax,125398
1985,December  ,Training and Employment Levy,12195
1985,December  ,Motor Vehicle Duties,9850
1986,January,Customs,11428
1986,January,Excise Duty,111869
1986,January,Capital Gains Tax,2310
1986,January,Stamps,10039
1986,January,Income Tax,276449
1986,January,Corporation Tax,16429
1986,January,Valued Added Tax,211789
1986,January,Training and Employment Levy,10677
1986,January,Motor Vehicle Duties,14249
1986,February,Customs,8634
1986,February,Excise Duty,134334
1986,February,Capital Gains Tax,2663
1986,February,Stamps,9955
1986,February,Income Tax,222099
1986,February,Corporation Tax,10230
1986,February,Valued Added Tax,105388
1986,February,Training and Employment Levy,650
1986,February,Motor Vehicle Duties,18049
1986,March,Customs,5904
1986,March,Excise Duty,127195
1986,March,Capital Gains Tax,2989
1986,March,Stamps,9364
1986,March,Income Tax,213619
1986,March,Corporation Tax,6416
1986,March,Valued Added Tax,174688
1986,March,Training and Employment Levy,19524
1986,March,Motor Vehicle Duties,14223
1986,April,Customs,9650
1986,April,Excise Duty,132704
1986,April,Capital Gains Tax,3729
1986,April,Stamps,8616
1986,April,Income Tax,250133
1986,April,Corporation Tax,21758
1986,April,Valued Added Tax,135428
1986,April,Training and Employment Levy,752
1986,April,Motor Vehicle Duties,15221
1986,May,Customs,11428
1986,May,Excise Duty,135592
1986,May,Capital Gains Tax,4425
1986,May,Stamps,14796
1986,May,Income Tax,214082
1986,May,Corporation Tax,25419
1986,May,Valued Added Tax,201271
1986,May,Training and Employment Levy,17807
1986,May,Motor Vehicle Duties,15189
1986,June,Customs,6349
1986,June,Excise Duty,149119
1986,June,Capital Gains Tax,2562
1986,June,Stamps,8456
1986,June,Income Tax,249576
1986,June,Corporation Tax,38473
1986,June,Valued Added Tax,110000
1986,June,Training and Employment Levy,10418
1986,June,Motor Vehicle Duties,11332
1986,July,Customs,9523
1986,July,Excise Duty,150680
1986,July,Capital Gains Tax,5660
1986,July,Stamps,10837
1986,July,Income Tax,255820
1986,July,Corporation Tax,66668
1986,July,Valued Added Tax,215523
1986,July,Training and Employment Levy,14008
1986,July,Motor Vehicle Duties,15552
1986,August,Customs,9142
1986,August,Excise Duty,149736
1986,August,Capital Gains Tax,3305
1986,August,Stamps,14005
1986,August,Income Tax,217844
1986,August,Corporation Tax,40408
1986,August,Valued Added Tax,86439
1986,August,Training and Employment Levy,10440
1986,August,Motor Vehicle Duties,13740
1986,September,Customs,4902
1986,September,Excise Duty,159160
1986,September,Capital Gains Tax,4656
1986,September,Stamps,48551
1986,September,Income Tax,227705
